぀ : 0              , ぁ : 6754           , あ : 131288         , ぃ : 23996          , 
八 : 357            , 寸 : 73             , 撮 : 392            , 菜 : 698            , 普 : 498            , 
畑 : 161            , 栽 : 244            , 培 : 291            , 温 : 1171           , 室 : 1259           , 
露 : 237            , 樹 : 397            , 辺 : 467            , 歳 : 1359           , 少 : 2412           , 
考 : 3153           , 篭 : 6              , 漸 : 11             , 千 : 626            , 円 : 753            , 
札 : 306            , 裏 : 422            , 逆 : 374            , 写 : 675            , 栖 : 6              , 
条 : 1336           , 氏 : 520            , 攻 : 830            , 故 : 469            , 評 : 990            , 
敷 : 332            , 呑 : 31             , 碗 : 39             , 托 : 12             , 陸 : 1258           , 
渡 : 586            , 術 : 2382           , 抜 : 603            , 催 : 1046           , 毎 : 877            , 
新 : 3468           , 聞 : 1341           , 権 : 2002           , 冬 : 573            , 緯 : 113            , 
帰 : 734            , 閣 : 238            , 項 : 327            , 官 : 1003           , 峡 : 197            , 
底 : 307            , 沈 : 210            , 骸 : 32             , 照 : 546            , 俗 : 252            , 
丸 : 380            , 掃 : 205            , 居 : 670            , 候 : 988            , 烏 : 36             , 
警 : 737            , 探 : 1084           , 偵 : 127            , 宛 : 17             , 郎 : 705            , 
専 : 628            , 瀬 : 98             , 兵 : 684            , 庫 : 583            , 旅 : 1022           , 
症 : 887            , 状 : 2047           , 偏 : 165            , 椿 : 16             , 鰆 : 1              , 
題 : 1901           , 町 : 714            , 幸 : 497            , 鳳 : 16             , 釣 : 247            , 
漢 : 671            , 籠 : 50             , 求 : 856            , 門 : 1212           , 所 : 5424           , 
父 : 1035           , 利 : 3129           , 早 : 844            , 管 : 1385           , 礼 : 368            , 
狗 : 15             , 羽 : 283            , 貧 : 190            , 乏 : 48             , 鎌 : 124            , 
倉 : 316            , 眼 : 217            , 蔵 : 551            , 蓮 : 40             , 崎 : 303            , 
頂 : 303            , 背 : 508            , 雲 : 286            , 犬 : 1371           , 猫 : 836            , 
側 : 1212           , 署 : 209            , 央 : 536            , 馬 : 1045           , 賞 : 3307           , 
覇 : 153            , 達 : 1953           , 既 : 247            , 修 : 637            , 硬 : 254            , 
